Date,Open,High,Low,Close,Volume,Stock_Code,Stock_Name
2024-01-02,607.0090412810068,611.8231423634816,601.0346176501997,605.070427377101,36683,2330,台積電
2024-01-03,605.6075368470268,615.8529117384483,600.7848576115226,608.2847941308552,35714,2330,台積電
2024-01-04,624.16541203716,634.9305640290761,611.8903832601312,618.5383793665296,74508,2330,台積電
2024-01-05,639.6306103730873,651.7774594945267,624.8900657869724,636.6016987471825,52110,2330,台積電
2024-01-08,639.4431711176488,641.3240737783003,634.3242376403844,638.7487994019631,50373,2330,台積電
2024-01-09,642.1940880416806,654.0950699403064,636.316068020779,640.7623590634116,62185,2330,台積電
2024-01-10,657.8721621492812,665.4171442816181,648.1685313356461,658.9317235380173,43730,2330,台積電
2024-01-11,666.2234921729155,673.0603068895487,660.1979278568584,669.6018882886501,72998,2330,台積電
2024-01-12,666.9930820207287,675.062438177391,663.9968847589395,668.9199369550568,66453,2330,台積電
2024-01-15,680.5937964975099,693.9338783196052,670.9750796479899,677.102033980522,38576,2330,台積電
2024-01-16,669.399364131285,682.6242646636528,667.5135721337717,675.9644185937597,51703,2330,台積電
2024-01-17,669.3420000232132,678.9563435538613,666.9807356566904,674.5213439936373,70164,2330,台積電
2024-01-18,672.9806068219149,687.7506764490188,666.2727698995409,679.1472277635731,72789,2330,台積電
2024-01-19,657.9636264460877,667.2527676452651,652.4508722867563,664.0633296610777,53696,2330,台積電
2024-01-22,654.9766880653456,655.97046229315,638.4537305791971,650.3531895737594,59536,2330,台積電
2024-01-23,649.414272455707,651.0881990724849,642.092055179308,646.7798365158076,41681,2330,台積電
2024-01-24,638.492937869634,640.458877156076,631.0789066403958,638.822904860111,74646,2330,台積電
2024-01-25,637.3151009417461,644.4346909183038,629.2560693722002,642.4827935806995,44266,2330,台積電
2024-01-26,634.7142876075442,636.5833432922931,634.5480628338427,634.820735934114,72709,2330,台積電
2024-01-29,621.977388075563,630.283986433998,613.7232832448135,622.307562428785,60985,2330,台積電
2024-01-30,631.2427688239203,637.7070077388075,628.9950904903782,635.3956912995991,59309,2330,台積電
2024-01-31,632.1389370548209,637.3523281431404,619.9883376764193,632.9763438792006,55507,2330,台積電
2024-02-01,631.6460345784831,644.2829247693987,629.7679901289856,632.9308242207305,44226,2330,台積電
2024-02-02,620.6452676089981,626.5285085901452,614.0757628576729,619.2105555375183,42061,2330,台積電
2024-02-05,614.8504133166921,623.0593763455403,612.1469244848789,613.1936419610652,43819,2330,台積電
2024-02-06,607.3077860625848,614.9935117280448,595.1995961651577,612.8812792659448,42457,2330,台積電
2024-02-07,599.5400528689913,603.3588239465789,593.5183324081006,601.0473279276832,66183,2330,台積電
2024-02-08,604.3373294648359,604.831298073104,595.6417133207359,602.8199121980338,49005,2330,台積電
2024-02-09,595.7412620774425,597.7540938311173,594.9047420695076,595.7038964483139,37313,2330,台積電
2024-02-12,595.5158966400666,598.8339961509441,582.431014205434,591.3000474399363,73764,2330,台積電
2024-02-13,585.9254948633293,587.9997939752463,581.6197271586665,584.0717255981072,70351,2330,台積電
2024-02-14,594.8916981970347,599.9917977972766,584.2067973706643,598.9292669269231,72110,2330,台積電
2024-02-15,591.9015268148625,598.4696493641094,589.4730774866314,597.0291866440435,74796,2330,台積電
2024-02-16,587.4681036413463,592.8819602224338,583.5654252354628,585.7995207429898,41955,2330,台積電
2024-02-19,585.9914682868363,594.035041726943,585.5631124162823,591.593727057158,50849,2330,台積電
